BatteryLevel,CPUCycles,Checkpoint
38.12,1320081,true
26.43,1321082,true
26.07,1322086,true
24.48,1323088,true
23.59,1324090,true
23.91,1325091,true
23.45,1326093,true
21.73,1327094,true
33.21,1328096,true
32.06,1329097,true
25.71,1330098,true
23.97,1331100,true
23.06,1332102,true
21.24,1333103,true
21.32,1334106,true
22.88,1335109,true
21.97,1336112,true
22.36,1337115,true
41.08,1338118,true
39.51,1339121,true
38.06,1340124,true
30.26,1341127,true
30.39,1342130,true
30.54,1343133,true
48.97,1344137,true
47.44,1345139,true
47.37,1346141,true
46.54,1347142,true
50.86,1348145,true
50.17,1349146,true
47.99,1350147,true
46.95,1351150,true
53.34,1352152,true
53.57,1353153,true
52.22,1354155,true
51.61,1355157,true
50.51,1356158,true
49.43,1357160,true
50.01,1358161,true
48.88,1359163,true
49.01,1360164,true
47.69,1361166,true
39.02,1362169,true
52.66,1363170,true
52.40,1364171,true
49.97,1365172,true
49.00,1366173,true
38.12,1367177,true
49.99,1368178,true
47.90,1369179,true
47.53,1370180,true
47.36,1371181,true
46.29,1372182,true
39.03,1373183,true
38.67,1374184,true
37.40,1375185,true
53.97,1376186,true
53.48,1377188,true
53.69,1378190,true
53.28,1379191,true
53.16,1380192,true
52.80,1381193,true
45.36,1382194,true
44.83,1383195,true
43.06,1384197,true
33.14,1385198,true
31.56,1386201,true
44.60,1387202,true
43.65,1388203,true
43.58,1389205,true
42.93,1390210,true
42.90,1391211,true
40.88,1392212,true
38.57,1393213,true
43.39,1394214,true
44.08,1395215,true
42.70,1396216,true
45.09,1397217,true
42.92,1398218,true
33.78,1399219,true
33.79,1400220,true
32.38,1401221,true
39.56,1402222,true
44.51,1403223,true
43.91,1404224,true
43.24,1405225,true
41.61,1406226,true
40.07,1407227,true
42.85,1408228,true
41.85,1409229,true
48.89,1410230,true
47.55,1411231,true
47.71,1412232,true
46.53,1413233,true
46.49,1414234,true
46.70,1415235,true
44.67,1416236,true
44.37,1417241,true
34.99,1418242,true
34.60,1419243,true
39.05,1420244,true
42.61,1421245,true
40.62,1422248,true
41.38,1423249,true
40.88,1424250,true
45.71,1425255,true
44.92,1426256,true
43.75,1427257,true
34.86,1428258,true
34.55,1429261,true
32.65,1430262,true
51.48,1431263,true
49.07,1432264,true
47.37,1433265,true
45.50,1434266,true
45.93,1435267,true
43.51,1436268,true
41.67,1437269,true
41.21,1438270,true
39.79,1439271,true
38.94,1440272,true
50.38,1441273,true
47.99,1442275,true
46.81,1443277,true
40.51,1444279,true
39.76,1445281,true
38.26,1446282,true
37.53,1447284,true
49.36,1448285,true
49.88,1449287,true
40.20,1450288,true
39.05,1451289,true
38.95,1452290,true
57.70,1453291,true
57.74,1454292,true
57.50,1455293,true
56.90,1456294,true
56.38,1457295,true
55.72,1458296,true
54.75,1459297,true
53.43,1460298,true
52.48,1461299,true
52.59,1462300,true
52.06,1463301,true
52.24,1464302,true
60.05,1465307,true
58.92,1466308,true
57.51,1467309,true
57.47,1468310,true
56.74,1469313,true
55.41,1470314,true
53.88,1471315,true
53.82,1472316,true
51.07,1473317,true
50.95,1474318,true
55.95,1475319,true
54.83,1476320,true
44.48,1477321,true
42.69,1478322,true
50.50,1479323,true
49.31,1480324,true
48.79,1481326,true
47.10,1482329,true
45.82,1483330,true
45.61,1484331,true
45.27,1485333,true
44.15,1486334,true
43.27,1487335,true
42.48,1488336,true
35.48,1489337,true
